2.723132260459258305e+03,1.164777723894284645e+04,7.943989837636093121e+00
2.795969561050987977e+03,1.217368285338970600e+04,9.500468957447749219e+00
2.840131795190687171e+03,1.854356845762261946e+04,1.072747591569141967e+01
2.785851065563589600e+03,1.655824902291048420e+04,1.048494367019079121e+01
2.789779671598083496e+03,1.552838150175876581e+04,8.430885176243283041e+00
2.792089358710726174e+03,1.255561997253389927e+04,9.389286683638220055e+00
2.728855425070794809e+03,1.472311253245068656e+04,8.733627028876854936e+00
2.832189755180839711e+03,1.745809187939892217e+04,1.043116620986106113e+01
2.767975726275587931e+03,1.287386114906738112e+04,9.941806424065406489e+00
2.860245128688024579e+03,1.294462121176093569e+04,1.172660864614429599e+01
2.880684091353805343e+03,1.318710126971288446e+04,1.276868912166865400e+01
2.743500209198901302e+03,1.665015634070426677e+04,9.142158989833164995e+00
2.782753947679563680e+03,1.194536119929718916e+04,9.716951849515231387e+00
2.782657126433764461e+03,1.469040920175635256e+04,1.176873464429067973e+01
2.800335786076302611e+03,1.541246514100987770e+04,9.527816124243345897e+00
2.767563835957104402e+03,1.476795172666702638e+04,1.102571769373539823e+01
2.738816905338169363e+03,1.334298490352894260e+04,7.860323546762735702e+00
2.815472560581384187e+03,1.977515921188553330e+04,1.120306844536218627e+01
2.768650079809867748e+03,1.876002966594929603e+04,7.954394428822730845e+00
2.733225706186459774e+03,1.182947736941482799e+04,8.748651930064440307e+00
2.822007814002359737e+03,1.743728838234267096e+04,9.840893500605318422e+00
2.794512024052411562e+03,1.190386581764038237e+04,1.160005700953792562e+01
2.740842319121287346e+03,1.310357074663273670e+04,9.027217591960706500e+00
2.791310818116652626e+03,1.510366467522740459e+04,8.855935137128922108e+00
2.688820874480573821e+03,1.165228235669829701e+04,7.395087172675562037e+00
2.810654250233200401e+03,1.629915543633590096e+04,9.300973914538561260e+00
2.833828306554493338e+03,1.198509843615761201e+04,1.174414960092085636e+01
2.717216089307122729e+03,1.185059942547556784e+04,8.522816190149741900e+00
